Crop,Question,Answer
,what. are the  proper spacing of maize,75X25 cm
,what causes that disease,Pathogens
,What causes my maize to grow short and fail to put on come the seeds?,Poor pollination
,what should I do when handling  pesticide,Protect yourself from it
,when should I crop till my cassava,Beginning of rainy season
,How can I control maize streak disease,Use tolerant varieties and practice good practices
,how can I control coach grass in my beans garden,Spray with herbicide
,when does cutworms attack maize plant,In vegetative stage
,how does fusarium root spread,Through left over rotting plants
,How can I plant my Beans?,"Prepare the garden, plant in lines at a spacing of 10 X30 cm"
,What is good security?,Not clear
,How can I identify the maize variety?,Look at its physical characteristics 
,how can I carry out mulching in my garden,Use grass and cover the soil
,how can cassava mosaic diseases spread,Through whiteflies or use of infected material
,when should I uproot maize seedling after germinating?,After 3 weeks during weeding
,How can I control pest in my bean garden,Use good agric practices  and spray where possible
,How can I harvest cassava.,Uproot using a hoe 
,how to grow maize,Plant at a spacing of 30X75 in a well prepared garden
,how long should I keep my maize in a store,As long as it is kept away from spoilage
,What is soil profile,Arrangement of soil layers
,state the characteristics of Sandy soil,Easily looses water
,How can I control termites eating my Cassava roots?,Use termiticides and harvest early
,what makes maize seeds smaller,Poor bulking due to poor growing conditions
,What causes flowers to fall off in my Bean plants?,Pests and sometimes due to poor growing conditions like drought
,What is cut worms,Larvae of some moths
,what is early planting ,Planting when you are supposed to
,which bean Variety are to bran to bean disease,NAROBEAN 1-7
,what are the signs and symptoms of the common Blight in beans,Water soaked angular peats on the leaf
,why should I weed my beans early,To stop weeds and even pests and disease
,What is biological control of pests in my cassava crops?,Using biological agents to eat the pests
,how do I get organic fertilizer,Use compost or buy one
,a part from weeding maize which method again can I control the weeds,Use herbicides in herbicide tolerant maize
,what type of herbicides can I use to control weeds in my cassava garden,Weed master
,what are characteristics of high yielding Maize,Many cobs/seeds
,what should I use for spraying my beans,Knapsack sprayer
,why should I weed t beans early,To control pests and improve yield
,How does locusts affects bean crops?,They eat the leaves
,How can I improve the yield of my beans?,Plant good varieties and use good agric practices
,where can I get clean maize seeds,In approved selling points and seed companies
,How long should I take to plant cassava cutting?,If it has matured to 1 year
,what mates the of my maize to rot,Not clear
,What causes black spots on maize leaves,Fungal organisms
,does cassava leaf infections have effects on the cassava tubers?,Yes� they reduce the yield
,what should I  use for harvesting my maize,Some maize harvesters are available commercially for large farms
,how many times should I. apply fertilizer in my bean,One to two times depending on the soil quality
,what causes seed rotting in maize ,Presence of fungal organisms
,what crop can I intercrop with maize?,Beans
,which food nutrients do we get from cassava?,Carbohydrates
,how can I control fusarium root in my Cassava,Remove old rooting plants
,how many times should I weed My beans,Twice
,how many times should I apply fertilizer in my garden,Once to two times
,can pruning be carried out in beans,NO
,what makes cassava root tuber rot,Cassava brown streak disease
,what quantity of maize should I plant in an acre?,About 10 kg
,What makes beans to have very few seeds in the pod?,Poor soils drought and diseases
,what is Afforestation,Planting more trees
,what makes cassava cutting to become bigger after planting,Failure to germinate
,how to prevent fall army worms in maize,Use good agric practices and pesticides
,what causes cassava to be yellow,Cassava brown streak disease
,where can I get the fertilizers,From any certified agric shops
,What causes stalk spots on my bean?,Bacterial or fungal infections
,how can I get healthy cassava cutting for planting?,Approach the certified seed suppliers
,what is thinning in agriculture,Removal of extra plants
,when should I start prepping for planting  cassava,Before rains start
,what makes my cassava not to germinate well,Poor seed material or drought or termites
,What type of crop is advisable to plant in newly cassava harvested garden,Beans
,How can a farmer control premature drying of bean pods,By ensuring that seeds are resistant to pest and disease 
,what is transpiration in beans,Loss of water
,methods used when watering a garden,Irrigation procedures
,how many been seeds should I plant per hole,1 or 2
,what is the importance of soil testing?,To understand how to deal with the soil as you grow crops
,Is it true or false that pesticides are used to kill small pest but they are not strong enough to humans?,It's true 
,how can I control cassava mosaic disease,Use clean planting material
,what is the precaution to be followed when handling chemical,Protect yourself from it
,how should I prevent that ,What?
,what makes my the pod of my beans to be  burnt,Bacterial infection
,which season is best for planting Cassava?,Rainy season
,what are the use full ness of herbicide to a farmer,Control weeds
,What is artificial fertilizer?,Plant nutrients produced using chemical processes
,how long it takes for cassava cutting to germinate,2 weeks
,when should I weeds my cassava,Two times  that is a month after germination and before flowering
,What causes premature flower fall off in beans?,Pests and sometimes due to poor growing conditions like drought
,which  beans varieties are tolerant to bean diseases,NAROBEAN 1-7
,which  is  good  for  maize,Depends on what you are using it for
,is it for the farmer to spray his crops in morning hours of the day,Yes
,what makes my bees not to germinate well,Dormancy of the seed
,How can I control maintain cassava garden look health.,Good management practices and use of the right varieties 
,what mates my maize not to germinate well,Seed dormancy
,how many times can I take to weed my Beans,Two times  that is a month after germination and before flowering
,what can I use to control weeds in my cassava during rainy season,Herbicides
,no Does cassava stem also become expired?,Yes
,what pesticide can I use for spraying my beans,Depends on what you want to control
,which fertilizer is good for application in beans,Nitrogen fertilizers like NPK
,What is the importance of sowing planting of Beans in the garden?,Not clear
,how can I get a good quality maize seeds,Buy from authorized dealer
,What causes bean stem borers,Moths and other larvae
,how can I control  maize. lethal necrosis,Use good agric practices and pesticides
,Is it good to eat diseased cassava roots?,No. but they wont kill you
,what is cutting my maize plant when it's germinating,Pests and even termites
,what is recommended for a flowering beans,Not clear but may be foliar fertilizer
,How many times should I weed my beans?,Two times  that is a month after germination and before flowering
,what fertilizer should I use when planting beans,NPK
,how to maintain young cassava,Weed and provide water
,what are the importance of soil moisture in the growth of maize crop.,Allow for successive completion of crop life cycle
,what is a solar drier,A drier that uses solar energy or energy from the sun
,what are rust in beans,"Fungal diseases affecting bean leaves, pods etc"
,when should I harvest my cassava,when its mature at around 12 months
,how can I control bean weevils in my store,Use right pesticides
,What is Artificial fertilizer?,Fertilizer produced using chemical process
,how to manage a maize garden in a swampy  area ,Make sure soil is well drained
,which type of soil layers contain Moro plant nutrients?,Loam soil
,what make my cassava to put few and small Root,Poor soils and if plant is diseased
,what best method can I use to water my beans,Irrigation and field flooding
,how can I control rats in my Cassava garden,Use traps or poison
,How many cassava stem cutting planted in one hole?,One
,What causes white spots on cassava leaves,It's caused by a fungus called phaeoramularia manihotis
,What makes bean pod to dry before maturity ,Bacterial diseases and anthracnose
,when should Maize be thinned,At weeding
,which type of plant materials is resistant to mosaic disease,Improved NASE and NAROCASS varieties
,what is the importance of crop rotation,Improves crop yield
,how can I control  kayongo I n my garden,Not clear
,What are the type of fertilizer we have? ,Artificial and organic
,What are weeds?,Plants that compete with crops
,What type of chemical can I use to dress up my bean seeds?,Quintozene and others
,Which are the conditions necessary for bean seed germination?,"Optimal moisture, oxygen and temperature"
,why should I do seeds dressing before planting maize,To stop them from being damaged
,what does seed need during germination,Moisture oxygen and good temperature
,what are the advantages of using Organic mulches when planting crops?,They easily decompose
,how to control water logging garden,Drain water using draining galleys
,when to apply fertilizer,At cropping/planting
,what crop can be intercropped with beans,Maize
,why should I weed my Cassava,To control pests and improve yield
,what causes too much weed in the garden,Too much weed seed
,which type of machine should I use for cutting my maize during rainy season,Harvesters including pangas and sickles
,how does cassava bacterial blight spread,Through infected planting material and vectors
,What is soil fertility?,The amount of fertilizer components in soil to support plant growth
,why should stores for farm products have smooth pillars.,To stop damages
,how does climate change affect maize growth,Makes maize yield less
,What measures taken to solve termite effects?,Use termiticides and harvest early
,List down the three broad recognized textural classes,"Sand, silt and clay"
,is there any. chemical l can use to  store My maize after harvesting,Phosphine
,what the fertilizer can I use in cassava,Nitrogen fertilizers
,Which selective spray chemical is for controlling caterpillar in beans,Most chemicals are not selective
,what makes my cassava plant to get dry up before maturity,Disease attacks like bacterial blight
,what is the importance of proper spacing of maize,To increase yield
,what causes Stewart's diseases in my maize,A Bacteria
,what  time is good for growing,What?
,how can I emATe the maize seeds from the canbe aaluer harneting,Not clear
,which types of fertilization occur in beans,Nitrogen and phosphorus based
,What is difference between terracing and mulching,Terracing is making bands to control soil erosion while mulching is covering the soil
,when should I harvest my beans?,When they have surpassed physiological maturity
,what is spacing of maize?,30X70cm
,which type of soil is good for growing maize.,loam soil
,how many times should I apply totalizer in my maize garden,once to two times
,what causes the yellowing of maize leaves and the drying of the maize funnel when maize is Young,MLN
,How can I avoid red or orange color on my bean leaves?,Use good agric practice
,What type of herbicides can I use to control weeds in my garden?,Weed master
,how can I control coach grass in my cassava garden,Use herbicides 
,how can I apply organic mature in maize,Apply at the plant or around it
,what  depth should a cassava cutting in a hole,Not clear
,what fertilizer is good for making maize feel healthy in a dry season,NPK
,How does bees help maize plants during flowering or production?,They carry pollen and allow fertilization to happen
,what causes the drying  of maize  from when  maize is young,Diseases but sometimes drought
,How does Cassava bacterial blight spread,Diseased planting material
,can pruning be done in maize,No
,what are the components of Soil?,"Organic matter, water, minerals and microorganisms"
,what makes my bean leaves to become yellow in color,Lack of nutrients
,what is terracing,Making Bands that control erosion
,how can I know the fertility of my soil ,Measure amount of minerals and other components
,How many maize seeds should I plant in one Hole,1 to 2 seeds
,how does the maize diseases spread,Through insect vectors
,what does the root do for maize plants.,Pick water and nutrients from the soil
,Why is Sodom apple and tick berry affects crops like beans?,They are weeds and compete with beans for nutrients
,which criteria should I use to keep my cassava healthy?,Use clean seeds
,How can I control bean weevil in my dry stored beans?,Use pesticides recommended
,how to improve cassava yields,Use clean seed of resistant varieties and good agronomic practice 
,how many varieties of cassava do we have in Uganda,22 released and many locals 
,how many bean seed should I put per hole,1 to 2 seeds
,which type of method can I use for drying My beans,use tarpaulins
,what are the elephant weeds in my Cassava garden,It is a weed that needs to be removed
,How can Intercrop cassava with beans,Plant cassava and beans at the same time
,Why is oxidation weathering process affects soil formation?,It adds more nutrients
,which variety of cassava is high yielding,NAROCASS 1
,how can I get clean cassava cutting for planting,Visit seed entrepreneurs and multipliers
,what are the signs of Cassava green mite diseases,Folded leaves at the top 
,What chemical can I use for dressing my bean seeds?,Quintozene and others
,what makes other cassava to get rotten,Brown streak or fungal attack
,how does climate change affect the yields of maize,Reduces them due to poor plant performance
,How many nodes should a good cassava cutting have?,6 nodes
,What is threshing?,Removing the seed from straw
,How many times should a farmer apply manure on Maize garden?,One to two times 
,which variety of beans is high yielding,NAROBEAN 1-7
,how sure are you,Am quit sure
,how long should I take to weed my cassava after planting,Every time weeds are there
,what can I do to control cough grass in cassava,Use the right herbicide which is recommended 
,what causes yellowing of older leaves in Cassava,Nutrient loss or brown streak disease 
,what variety of cassava is tolerant to cassava green,Improved varieties like NASE series and NAROCASS
,how can I prevent cassava mosaic,Use resistant varieties of cassava and manage the crop well
,what can I do when my beans are flowering,Spray some foliar fertilizer
,How can I control pests in my Cassava store,Use pest control chemicals recommended in stores 
,what is the importance of intercropping beans with maize,Good use of land and maximizing on resource use
,How does too much rain affects crops?,It increases the incidence of pests and disease 
,what process can I use when planting my beans,Prepare garden and plant at right spacing with right seeds
,when should I harvest maize.,When it is mature and dry
,What the importance of weeding maize before flowering?,To reduce on competition with crops hence increase yield 
,which good yield is better for apply in cassava,Not clear
,Which set of germination conditions are needed for germination in bean seedlings.,"Optimal moisture, oxygen and temperature"
,how does cassava bacteria blight spread,Use  of diseased planting material and poor crop management practices 
,which type of cassava needs slashing the stem,Slashing the stems can lead to poor growth of roots
,how can I control Birds eating my Maize grain?,Use nets and scare crows where possible guard the crop
,How can I control stem borers in beans,Use resistant varieties and increase on water availability for crop vigor
,what makes my beans to germinate  when  it's. still young,A lot of moisture in the pod and late harvesting 
,how are cassava viruses caused,They spread through diseased planting material or by whiteflies 
,what should I use for weeding cassava plants?,Farm implements like hoes
,How can I know a good quality of cassava cutting for planting,It should have at least 4 nodes and a size of diameter of about 2 cm
,What is seed dressing,Applying chemicals like quintizone so that seeds are not affected by conditions when planted 
,what causes flowers absorption in maize,"Diseases, pests and even environmental conditions like drought"
,what makes maize to have less  yield ,"low nutrient availability, diseases and pests"
,How do we prevent cassava black rot,Remove tree stumps before planting
,How can I makes Artificial fertilizer?,Use chemical process
,why can roots of plants breathe easily in loose soil?,Using root hairs 
,how much cassava can I get in an acre,About 10-30 tones
,how to fight termites in my garden,Using termiticides but also if a variety is resistant to termites 
,ex which variety of maize seeds is resistant to Sunshine,"Drought tolerant maize such Longe 4, 2 etc"
,why should I weed my Cassava garden,To reduce the effect of weeds on the garden
,what should I use for threshing my beans,Mechanical threshers are available 
,it's too sunny and my maize is drying so what can I do,Irrigate the crop 
,what variety of bean seeds should I use for planting,NAROBEAN 1-7
,What is the importance of planting Cassava?,A source of food security and income security
,Why should a farmer carryout crop rotation,To increase yields and control diseases and pests
,how to control and prevent pests like pigs in a cassava garden,Dig trenches around garden or fence it off
,how does crop rotation improve on crop yields,To increase yields and control diseases and pests
,why does cassava root rot when the steam are cut,Because the supply of nutrients has been cut off
,How many kgs can I get in one acre?,"About 10,000-30,000 kilos of fresh cassava"
,how can I control my cassava stem from thief's,Put security
,is it healthy to eat fresh cassava infected by cassava mosaic?,It has no problem
,what causes soil erosion.,Running water and failure to mulch the ground
,what can I use for transporting my maize from the garden during harvesting,Bicycle or wheel barrow etc
,How can I control spear grass in my Cassava garden?,Use the right herbicide which is recommended 
,what causes blade spot on my been pod,Bacteria infections
,What is cereal Crops?,Crops which are grass like and produce grains
,there many types  of beans  which one is good for farmers,Early maturing and disease resistant beans like NAROBEAN 2
,what makes my cassava stem to be healthy,When they are free of disease and pest and are mature
,which type of maize seed makes two combs,All longe varieties planted in a good soil
,What is solution to loss of nitrogen in soil,Add nitrogen fertilizers 
,what makes cassava leaves appear yellowish,Brown streak disease 
,how does the diseases that affect cassava spread?,Use  of diseased planting material and poor crop management practices 
,how can I make an organic manure,Use compost and rubbish from the home to make manure
,how do I prepare my cassava flour for a meal?,"Peel the cassava, dry it to a low moisture and mill it into flour"
,what are legumes,Crops such as beans and soya beans which are nitrogen fixers
,which variety of cassava is Tolerant to cassava garden,NAROCASS varieties 
,what causes black spots on my Bean pods,Bacterial blights and angular spot
,How can I maintain the fertility of my Soil?,Use both organic and inorganic fertilizers and good management practices 
,What makes cassava fails to germinate,Dormant nodes or dry nodes 
,What Makes bean pod to ripe before maturity date,Diseases and may be drought
,how long should I keep my maize in the store,As long as its quality is good but at least a year
,why do some cassava dry during the sunny season,Loss of water
,What makes bean seedlings to dry,lack of water and diseases 
,how can I know the fertilizer of my soil,Measure the nutrients and quantify 
,What discourage the practice of shifting cultivation to many farmers?,lack of land 
,what makes my beans to Roth in Sind The pods,Diseases and pests
,How can I treat maize grain in the store,Use the recommended chemical 
,how can I control weevil in my cassava store,Use pest control chemicals recommended in stores 
,how should farmer maintain crop rotation,Use crops as described in the rotation cycle
,How can I apply fertilizer to  the soil?,Apply around the plant if possible broadcast
,what is evaporation in beans,Loss of water from the leaves of the plant 
,how make maize feel healthy in a dry season,Irrigate the crop 
,At what time should a farmer do watering crops.,In the evening
,how can I retain water in maize garden,Use mulching 
,which crop is good to plant in the garden after harvesting beans,Sweet potato or maize 
,how can I control carterpilar eating my bean plants,Use reccomended pestcides and cultural control practices 
,how many times should I weed my maize,Two times  that is a month after germination and before flowering
,What can I use in seed soaking process?,Water and some chemicals reccoended for the practice being done
,when should I  practice thinning in my maize,At weeding
,which are the types of fertilizer used in maize growing,NPK and phosphate fertilizers 
,how can I apply fertilizer in my cassava t,Apply around the plant if possible broadcast
,what products are made from maize,"Flour, animal feed, food, starch etc"
,how can I control stringer in my Maize garden?,Use resistant verities and increase on water availability for crop vigor
,What causes cassava root tuber constricted,Cassava brown streak disease
,what causes black dusting spread on Maize leaves?,Use  of diseased planting material and poor crop management practices 
,when should I start spraying my cassava,"Depending on what you are spraying, if weeds, when plants are mature enough"
,how many months does cassava take to mature,12 months 
,"Apart from insecticide, what other method used to control bean weevils?",Use resistant verities and increase on water availability for crop vigor
,What is Halo blight,Disease in beans 
,How can I control pests and diseases in my bean,Use resistant verities and increase on water availability for crop vigor
,Is it healthy to eat bean pods?,Yes
,how does southern Blight spread,Use  of diseased planting material and poor crop management practices 
,how can I control star grass in my garden,Use the right herbicide which is recommended 
,When should I spray maize,"For pests, when the pest population is high enough"
,What fertilizer is used for planting beans?,NPK and phosphate fertilizers 
,how many years should cassava take before uprooting,1 year 
,if my beans are eaten up by weevils what can I do,Kill the weevils and use beans as grain
,How can I control star grass in my bean garden?,Use the right herbicide which is recommended 
,can cassava cause sickness?,"Yes, if it has cyanide"
,should stored beans seeds be sprayed,"Yes, to control weevils "
,Which type of crop is advisable to intercrop with cassava?,Beans earlier after planting
,how can I improve cassava resistivity to diseases,Use clean seed of resistant varieties and good agronomic practice 
,what are precautions taken while handling herbicide into the maize garden,Protect yourself from it
,how does cassava mosaic disease spread,Use  of diseased planting material and poor crop management practices 
,What is flowering plants,The time point when flowers begin to show on a plant
,what can I use for cleaning my beans after threshing,Mechanical threshers are available 
,how should I plant my Cassava cutting,Dig holes and cover it at 1X1 meter square between plants
,no How can I control cassava bacterial in my garden?,Use resistant verities and increase on water availability for crop vigor
,for how long should we use to apply manure in my cassava garden,During planting or after weeding
,where can I get good market for cassava,Ask the commercial officer at district
,What causes premature stem cracks in maize,Fungal diseases like Turcicum blight
,what is pastoralism,Rearing of animals on the move
,why should a farmer would choose to use a disc plough rather than a mold board plough.,"The disk plough can do several functions such  soil breaking, soil raising, soil turning and Soil mixing"
,What is the type of germination in bean seeds?,Apogeal
,Which method of irrigation  help in conserving water in the soil?,Drip
,how can I control soil erosion in my garden,Use terraces or mulches 
,what time is good for spraying maize,When pests appear
,what are the method of removing the weeds in my garden,Weeding or using herbicides 
,which variety of cassava is resistant to pests and diseases,NASE and NAROCASS series 
,What causes white spots on maize leaves,Attack by bacteria such as pseudomonas
,what herbicide can be used in maize,Herbicides tolerant maize you can use 
,how many node should cassava cutting,Six
,which way are we avoiding  mosaic virus,Use resistant varieties of cassava and manage the crop well
,how many times should I weed my cassava garden,2 to 3 times 
,How does cassava bacterial blight spread,Use  of diseased planting material and poor crop management practices 
,why should I plant seeds in moist soil.,Water and moisture are necessary for germination
,What is seedlings,Derivatives of seedlings after growth
,What is garden preparation,Making sure the garden is fine
,Is there any advantage and disadvantage with beans to a human being?,No known disadvantages. Only advantages 
,what makes the roots of my maize to,Not clear
,what are the varieties of cassava,NASE and NAROCASS series 
,When should I start spraying my cassava?,When pests appear
,what is seed bed,A place where seedlings are raised 
,What is pollination ?,Pollination is the transfer of pollen from anther to stigma
,when should I start spraying my beans,"Depending on what you are spraying, if weeds, when plants are mature enough"
,What makes cassava bitter,Hydrogen cyanide 
,which fertilizer can I apply on beans,NPK and phosphate fertilizers 
,why cassava leave can be dots,Dots show cassava bacterial blight spots
,What makes cassava to yield less root tuber,"low nutrient availability, diseases and pests"
,how many  bean seeds should I plant in  per  hole,Two maximum
,What can I use for drying Cassava,Use tarpaulins or cemented floor free from dust
,which maize plants disease causes leaves to appear white in color,Bacterial such as pseudomonas and fungal sometimes 
,What is contour ploughing,"�Ploughing perpendicular to the slope, alongside contour lines"
,when should I plant my maize during shine season,Its preferable in the dry season
,how can I control pest in maize garden,Use resistant verities and increase on water availability for crop vigor
,How can I maintain my Cassava garden?,Pesticides and cultural control procedures can be mixed to control pests 
,What do we get in our body when we eat cassava?,Calories 
,What makes bean pod to have very small seeds,Poor fertility and diseases and pests attack
,what causes yellowing of maize leaf and drying of maize funnel when is young,Viral diseases and loss of nutrients 
,which type of chemical spray spider on bean leaf?,Mitecides can kill spiders 
,What are the factors which affect soil fertility?,Use both organic and inorganic fertilizers and good management practices 
,What is nutrients?,Materials that improve plant nutrition
,which crop is good for inter planting with beans,Maize mainly or even other grain crops  
,what is the use of weediadees in my garden.,Increase performance and yield 
,which fertilizer is better for in cassava garden,NPK and phosphate fertilizers 
,how many diseases attack beans,Very many
,what makes my maize seeds not to germinate well,Because of dormancy causing factors 
,how can I access organic manure?,Use compost and rubbish from the home to make manure
,why should mist farmers put there seeds before planting,Not clear
,What causes bean stem maggots,An insect that lays maggots in the bean
,what are the beans pests,"These include moth, caterpillars etc"
,what are seed companies and urban traders,People who trade in agricultural produce
,what causes yellowing of my maize,Viral diseases and loss of nutrients 
,what mates my maize to rot from its roots,"Soil borne pathogens such fusarium, Pythium etc"
,what makes cassava to be yellow,Cassava brown streak disease
,What causes cassava green mite disease,Green mites
,Is it good to inter crop beans and maize,Yes
,what makes my bean seeds to put few and rotten,Diseased planting material or poor growing conditions
,How can I control Cassava mosaic?,Use resistant varieties of cassava and manage the crop well
,how can I control rotting of beans,Use recommended pesticides and cultural control practices 
,why should I apply fertilizer in my Cassava garden,Increase yields and plant performance 
,how to control stem bores,Use resistant verities and increase on water availability for crop vigor
,At what time should I spray army worms in maize,Use cultural methods 
,spacing of cassava,1X1 meter
,what causes premature yellowing and drying of maize leaves,Viral diseases and loss of nutrients 
,what  are the symptoms of Cassava mosaic,Coiling of leaves 
,how can I control mole rats in my cassava garden,Use recommended pesticides and cultural control practices 
,which  maize variety is drought tolerant,"Longe 10, Longe 4"
,How can I control bean weeds in my store?,Use pest control chemicals recommended in stores 
,when should I apply fertilizer during maize planting,At planting
,which variety of beans is resistant to pest and diseases,NAROBEAN 1-7
,what can I use storing my beans,Dry storage is required probably cemented away from moisture and pests. 
,What are bean stem maggots?,Larvae of some moths that are pests of the crop
,what is pesticide,A chemical that kills pests
,how can I control pests and diseases affecting my maize?,Use resistant varieties and increase on water availability for crop vigor
,How many maize seeds should I plant in one hole,One to 2 seeds 
,what is a leguminous plant,Plants that have two cotyledons and are annual in nature
,how months does beans take to mature,2.5-3.5 months 
,why should I carry out crop rotation in cassava garden,To increase yields and control diseases and pests
,can beans do well when inter cropped with cassava,Yes
,how many times should I spray my cassava ,"Depending on what you are spraying, if weeds, when plants are mature enough"
,how does bacterial blight CBB affects the crops,Reduces yield
,what are the components of sprinkler irrigation system?,"A sprinkler, a delivery pipe and a pump"
,For how many times should I mulch my cassava garden,Once
,what is the importance of organic fertilizer,Increase yields and plant performance 
,what causes yellowing in x,Not clear
,I have cassava is not growing fast why,Limited nutrients in the growing environment
,How does water logging affects Cassava roots?,Reduces aeration around the roots causing rotting 
,what is a bean,A legume with about 20% protein and 30% carbohydrates 
,which variety of cassava is resistant to pests and diseases?,NASE and NAROCASS series 
,How many disease affect maize,Many
,Which beans variety take long to maturity date,Local varieties 
,how can we control Cassava mosaic?,Use resistant varieties of cassava and manage the crop well
,What makes maize to yield very small grains,Poor fertility and diseases and pests attack
, how can I control weeds in my cassava garden,Use the right herbicide which is recommended 
,when should I gap fill my cassava,After germination
,how many sucks of seeds can I use for planting my two acres,One 50 kilogram sack
, How can I regulate beans growth in my garden,Vary nutrient availability
,is it safe to eat cassava leaves?,Yes
,what crop should I use for inter cropping my maize,Beans earlier after planting
,how long should I take to plant my cassava cuttings?,At least 2 weeks 
,How can I control water longing in my cassava garden?,Use terraces
,which fertilizer is best for beans in hot seasons,NPK and phosphate fertilizers 
,How can I control mole rat in my bean,Use rodenticides or traps 
,why is it too dry in this month yet we expected rain,Not clear
, what type of soil layers contain most plant nutrients?,Loam
,what causes low rate of transpiration in plant growing,High humidity in the air
,Why should I add fertilizer to the Bean plants?,Increase yields and plant performance 
,what are the methods of land preparation for planting cassava?,Digging and mounding the land or digging holes 
,Which variety of maize has long time maturity date,Local varieties 
,how can I know that my beans is dry for store,Measure moisture content
,Is there  a possibility of providing farmers with agro inputs?,Yes
,which variety of beans is suitable for planting,NAROBEANs
,What is vector,Organism that carries disease and is possibly a pest
,what are the good season to plant maize,The August November season
,how can I control peats in my maize garden,Use recommended pesticides and cultural control practices 
,what makes other cassava to grow with little roots while others having many roots,Pests and disease attack
,what are the symptoms of cassava poisoning?,Vomiting and convulsions and pain in stomach
,What causes cassava brown streaks,Cassava brown streak viruses
,What causes premature drying of maize cob,Maize lethal necrosis
,what are the method  l should use when applying fertilizer in my maize garden,Broadcasting or near the crop 
,what makes maize to rot,"Soil borne pathogens such fusarium, Pythium etc"
,what makes my maize leaves to be dry,Maize lethal necrosis
,how many nodes should a good cassava cutting have?,At least 4 nodes 
,What makes maize plant to grow weaker?,Lack of nitrogen
,which fertilizer is good for application in cassava,NPK and phosphate fertilizers 
,why is it that Sunday soil not good for growing crops like cassava?,It has low water retention capacity
,which variety of cassava is resistant to pests and diseases,NASE and NAROCASS series 
,what chemical can I use for dressing beans seeds,Applying chemicals like quintizone so that seeds are not affected by conditions when planted 
,What causes premature leaf folding in beans,Pests such as  moth
,how can I control weevil in my maize store,Use pest control chemicals recommended in stores 
,What makes the Bean leaves to have brown spots on it?,Bean rust
,which variety of maize is good for planting,Longe 5 and Longe 6
,How can I control stringer in my maize garden,Use resistant varieties and increase on water availability for crop vigor
,how can I control bean weevils is in my store,Use pest control chemicals recommended in stores 
,how can I control cassava white flies in my cassava,Use recommended pesticides and cultural control practices 
,What are demerits of monoculture?,It leads to loss in diversity of crops and animals
,how should I plant my cassava stem cuttings,Dig a hole of about 10 cm and burry it
,What can I use in spacing maize,30X70cm
,what type of soil good for growing maize,Loam
,what causes weevils in cassava store,Bean weevils come from environment and attack poorly stored maize 
,How many varieties of cassava in Uganda?,About 20 improved and many locals 
,what is sorting in beans,Removing the bad seeds and keeping the good ones 
,can I apply fertilizer when planting cassava,Yes
,how does NASE14 look like,Green leaves and slightly green petioles 
,when should I harvest my maize,When it has matured and has a moisture content of about 20%
,How many times should I weeds my beans,Two times  that is a month after germination and before flowering
,how many months should a planted beans take s to get ready for uprooted,2.5-3.5 months 
,How can I control pests and diseases in my cassava garden,Use recommended pesticides and cultural control practices 
,What is soil erosion,The washing away of top soil
,what acids are found in cassava,No acid in cassava 
,what fertilizer is good for growing beans,NPK and phosphate fertilizers 
,why are Maize price lower,Price varies 
,what makes cassava not to develop good yield,Poor fertility and diseases and pests attack
,How many time should I start weeding my Maize?,Two times  that is a month after germination and before flowering
,what makes my maize to dry,When attacked by pests 
,how can I control white fires in my cassava garden,Use recommended pesticides and cultural control practices 
,How can I manufacture maize high yielding seeds,This is the work of research institutes 
,How does weather changes affects maize flowering?,Hot weather limits pollination 
,Now how can I prevent purple color in maize leaves,That�s a virus. Can't be controlled 
,what are the signs of cassava brown streak?,Brown or yellowing older leaves and necrosis on the roots
,How can I pack my cassava in the store.,In bags stacked to a height
,How can I control pig weeds in my cassava garden.,Use the right herbicide which is recommended 
,what chemical can I use for dressing before,Applying chemicals like quintizone so that seeds are not affected by conditions when planted 
,how many nodes should a good cassava cutting have,About 4-6
,what causes maize to grow short maturity,Drought
,how can weeds control pests in the garden,Use recommended pesticides and cultural control practices 
,How long should I keep my Maize in the store?,At least before it gets attacked by pests 
,What are the types of diseases of maize,Viral and bacterial diseases 
,What makes the bean pod to have very small seeds?,Poor fertility and diseases and pests attack
,how can I control my garden tools from rusting,Use recommended pesticides and cultural control practices 
,what are the strategies for controlling cassava mosaic disease virus ,Use resistant varieties of cassava and manage the crop well
,how can I apply fertilizer in My maize garden,Broadcasting or near the crop 
,plants that can be planted after harvesting beans,Sweet potato or maize 
,what type of soil is good for growing beans and maize,Loam
,what can I use for planting my cassava cuttings,Use a hand hoe
,is cassava mosaic disease a DNA virus?,It is caused by a DNA virus 
,How many times should a farmer dry his or her Bean seeds before planting,Drying up to when moisture is about 14%
,How can a farmer control white flies in beans?,Use recommended pesticides and cultural control practices 
,what makes maize to rot I inside the comb before harvesting,Pathogen
,when can I plant my beans.,At the beginning of rainy season 
,How does warmth help in Maize seed  germination?,It provides the right temperature 
,is it good to broadcast maize,No
,how should I apply in my beans garden,Broadcasting or near the crop 
,How can we manufacture a quality maize flour, Dry the produce  it to a low moisture and mill it into flour
,how can I get quality maize for planting,From authorized seed dealers 
,When should I start spraying my beans?,When pests appear
,how many cassava type in Uganda,Many improved and local 
,what makes other cassava leaves to become yellow,Brown streak disease 
,what causes soft rot,Fungal pathogens
,The factors that affect crop like bean distribution in East Africa include,Pests and disease attack
,What is nitrogenous fixing bacteria,Bacteria adding nitrogen in soil
